工作標題,工作地點,年資要求,學歷要求
成品加工技術員-津貼另計,高雄市路竹區,2年以上,大學
硬體主任工程師（組織擴編）,新北市新店區,2年以上,大學
HR - IT科技業招募/人事,台北市大安區,2年以上,大學
【內湖】獵才顧問（科技業）Talent Acquisition Consultant (Tech Industry),台北市內湖區,2年以上,大學
(內部職缺招募）科技業部門＿獵才招募顧問及實習生,台北市松山區,2年以上,大學
【內部職缺】招募顧問 (科技業) / IT Recruiter/ Researcher/ Account Executive A14,台北市松山區,2年以上,大學
派遣高薪！【Forbes前40強_社媒龍頭美商(台北)_Supply Chain Analyst】歡迎有5年以上消費性電子產品科技業supply chain經驗的您！KA_840,台北市信義區,2年以上,大學
【擴編中】業務人員－機器人科技業務部,台北市中山區,2年以上,大學
半導體科技業 人資人員,台北市內湖區,2年以上,大學
產品客服專員－機器人科技業務部(擴編中),台北市中山區,2年以上,大學
【 5G+低軌衛星科技業】行政助理,基隆市七堵區,2年以上,大學
上市台商科技業-C&B manager in 竹科(992),新竹縣寶山鄉,2年以上,大學
【 5G+低軌衛星科技業】國外業務助理,基隆市七堵區,2年以上,大學
【 5G+低軌衛星科技業】生產助理,基隆市七堵區,2年以上,大學
駐點美國或歐洲科技業業務-202AC,美加地區,2年以上,大學
【知名南港伺服器美商_Sales Admin】(科技業跳槽機會/外商環境/適合個性偏活潑外向者)_KA_816,台北市南港區,2年以上,大學
【 5G+低軌衛星科技業】清毛邊人員,基隆市七堵區,2年以上,大學
AH- [跨國外商科技業] C&B Specialist (兩年C&B 薪酬經驗/薪資福利優!),台北市信義區,2年以上,大學
"中部地區【科技業/製造業/資訊科技】【工程師】職務專區/歡迎專業領域人才投遞,TCS_670",台中市西屯區,2年以上,大學
DS-【知名外商科技業_業務助理】月薪35-45K/日文精通/新竹,新竹市,2年以上,大學
☛誠徵 新同事、好夥伴☚【內部職缺】獵頭/招募顧問 <科技業>】高雄_人事招募顧問,高雄市新興區,2年以上,大學
KH-信義區稀有機會!! 跨國外商軟體科技業 - 薪酬專員 C&B Specialist (兩年經驗/薪資優!),台北市信義區,2年以上,大學
